GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than high school graduate,Margin of Error; Total: - Less than high school graduate,Estimate; Total: - High school graduate (includes equivalency),Margin of Error; Total: - High school graduate (includes equivalency),Estimate; Total: - Some college or associate's degree,Margin of Error; Total: - Some college or associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Graduate or professional degree,Margin of Error; Total: - Graduate or professional degree,Estimate; Total: - Same house 1 year ago:,Margin of Error; Total: - Same house 1 year ago:,Estimate; Total: - Same house 1 year ago: - Less than high school graduate,Margin of Error; Total: - Same house 1 year ago: - Less than high school graduate,Estimate; Total: - Same house 1 year ago: - High school graduate (includes equivalency),Margin of Error; Total: - Same house 1 year ago: - High school graduate (includes equivalency),Estimate; Total: - Same house 1 year ago: - Some college or associate's degree,Margin of Error; Total: - Same house 1 year ago: - Some college or associate's degree,Estimate; Total: - Same house 1 year ago: - Bachelor's degree,Margin of Error; Total: - Same house 1 year ago: - Bachelor's degree,Estimate; Total: - Same house 1 year ago: - Graduate or professional degree,Margin of Error; Total: - Same house 1 year ago: - Graduate or professional degree,Estimate; Total: - Moved within same county:,Margin of Error; Total: - Moved within same county:,Estimate; Total: - Moved within same county: - Less than high school graduate,Margin of Error; Total: - Moved within same county: - Less than high school graduate,Estimate; Total: - Moved within same county: - High school graduate (includes equivalency),Margin of Error; Total: - Moved within same county: - High school graduate (includes equivalency),Estimate; Total: - Moved within same county: - Some college or associate's degree,Margin of Error; Total: - Moved within same county: - Some college or associate's degree,Estimate; Total: - Moved within same county: - Bachelor's degree,Margin of Error; Total: - Moved within same county: - Bachelor's degree,Estimate; Total: - Moved within same county: - Graduate or professional degree,Margin of Error; Total: - Moved within same county: - Graduate or professional degree,Estimate; Total: - Moved from different county within same state:,Margin of Error; Total: - Moved from different county within same state:,Estimate; Total: - Moved from different county within same state: - Less than high school graduate,Margin of Error; Total: - Moved from different county within same state: - Less than high school graduate,Estimate; Total: - Moved from different county within same state: - High school graduate (includes equivalency),Margin of Error; Total: - Moved from different county within same state: - High school graduate (includes equivalency),Estimate; Total: - Moved from different county within same state: - Some college or associate's degree,Margin of Error; Total: - Moved from different county within same state: - Some college or associate's degree,Estimate; Total: - Moved from different county within same state: - Bachelor's degree,Margin of Error; Total: - Moved from different county within same state: - Bachelor's degree,Estimate; Total: - Moved from different county within same state: - Graduate or professional degree,Margin of Error; Total: - Moved from different county within same state: - Graduate or professional degree,Estimate; Total: - Moved from different state:,Margin of Error; Total: - Moved from different state:,Estimate; Total: - Moved from different state: - Less than high school graduate,Margin of Error; Total: - Moved from different state: - Less than high school graduate,Estimate; Total: - Moved from different state: - High school graduate (includes equivalency),Margin of Error; Total: - Moved from different state: - High school graduate (includes equivalency),Estimate; Total: - Moved from different state: - Some college or associate's degree,Margin of Error; Total: - Moved from different state: - Some college or associate's degree,Estimate; Total: - Moved from different state: - Bachelor's degree,Margin of Error; Total: - Moved from different state: - Bachelor's degree,Estimate; Total: - Moved from different state: - Graduate or professional degree,Margin of Error; Total: - Moved from different state: - Graduate or professional degree,Estimate; Total: - Moved from abroad:,Margin of Error; Total: - Moved from abroad:,Estimate; Total: - Moved from abroad: - Less than high school graduate,Margin of Error; Total: - Moved from abroad: - Less than high school graduate,Estimate; Total: - Moved from abroad: - High school graduate (includes equivalency),Margin of Error; Total: - Moved from abroad: - High school graduate (includes equivalency),Estimate; Total: - Moved from abroad: - Some college or associate's degree,Margin of Error; Total: - Moved from abroad: - Some college or associate's degree,Estimate; Total: - Moved from abroad: - Bachelor's degree,Margin of Error; Total: - Moved from abroad: - Bachelor's degree,Estimate; Total: - Moved from abroad: - Graduate or professional degree,Margin of Error; Total: - Moved from abroad: - Graduate or professional degree
0400000US47,47,Tennessee,4478450,1415,603524,5973,1461364,9282,1246789,7105,738613,5985,428160,5497,3914993,6279,526159,5476,1292763,8238,1082203,7053,639233,5764,374635,4958,321272,4425,49468,1781,102260,2848,94165,2237,50230,1838,25149,1204,114655,2530,15164,901,37167,1354,32536,1167,19699,1154,10089,680,111603,3159,10369,912,25855,1502,34725,1647,25088,1188,15566,964,15927,1138,2364,430,3319,478,3160,630,4363,594,2721,413
0500000US47001,47001,"Anderson County, Tennessee",53674,121,7550,619,17965,752,15406,723,7217,551,5536,402,47680,583,6803,606,16008,730,13314,722,6521,515,5034,397,2981,461,476,208,1003,237,1068,253,226,113,208,120,1868,323,237,138,612,157,711,188,240,107,68,58,925,228,18,18,323,122,279,94,156,87,149,77,220,110,16,18,19,31,34,33,74,50,77,44
0500000US47003,47003,"Bedford County, Tennessee",30826,226,5752,541,12592,722,7657,538,3360,456,1465,277,27263,638,4892,488,10947,700,7115,541,3040,445,1269,261,2278,497,576,217,1066,286,312,138,183,110,141,109,768,217,135,86,343,165,138,82,102,65,50,65,446,193,133,88,205,138,79,70,29,41,0,26,71,50,16,21,31,30,13,20,6,9,5,7
0500000US47005,47005,"Benton County, Tennessee",11827,109,2037,268,5658,322,2615,268,976,193,541,155,10838,251,1873,262,5362,350,2318,262,772,141,513,152,463,130,119,61,133,69,135,55,66,60,10,18,370,140,22,17,151,94,106,50,78,73,13,14,101,66,8,13,12,14,52,50,24,28,5,8,55,48,15,32,0,19,4,6,36,37,0,19
0500000US47007,47007,"Bledsoe County, Tennessee",10989,125,2946,497,4433,363,2249,335,791,215,570,226,9837,290,2542,447,3986,355,2032,332,722,200,555,225,322,111,191,100,62,33,56,50,13,18,0,19,651,195,122,49,315,161,143,83,56,47,15,25,120,96,32,28,70,87,18,19,0,19,0,19,59,53,59,53,0,19,0,19,0,19,0,19
0500000US47009,47009,"Blount County, Tennessee",90409,155,10239,720,31743,1205,27312,974,13897,831,7218,614,82399,772,9521,724,28796,1080,25068,961,12483,827,6531,583,4551,551,454,141,1890,337,1201,301,774,198,232,107,1966,347,173,80,561,194,697,190,251,109,284,119,1309,310,68,65,466,168,300,138,320,161,155,61,184,96,23,34,30,29,46,44,69,50,16,22
0500000US47011,47011,"Bradley County, Tennessee",70006,155,11082,806,22615,1030,21062,1026,9433,798,5814,702,60782,847,9323,698,19430,1005,18459,1020,8158,729,5412,706,5885,697,1259,341,2106,374,1711,332,636,204,173,91,1501,361,257,118,453,195,307,158,359,177,125,77,1612,396,236,133,534,211,516,213,238,123,88,76,226,105,7,11,92,68,69,60,42,47,16,27
0500000US47013,47013,"Campbell County, Tennessee",28593,91,7061,512,11780,627,6388,454,2115,324,1249,238,25706,485,6180,453,10663,593,5655,477,1982,324,1226,240,1924,366,726,220,807,229,336,128,55,43,0,26,376,135,38,26,130,70,159,87,32,37,17,22,565,236,117,101,166,80,230,147,46,45,6,11,22,25,0,26,14,22,8,12,0,26,0,26
0500000US47015,47015,"Cannon County, Tennessee",9834,58,1527,218,4675,307,2435,294,791,166,406,128,8556,281,1311,205,3973,343,2182,281,699,149,391,127,562,193,119,62,321,157,98,70,24,32,0,19,549,190,50,34,303,152,141,68,55,39,0,19,154,96,38,45,74,64,14,23,13,19,15,20,13,16,9,15,4,7,0,19,0,19,0,19
