GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Margin of Error; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Margin of Error; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Margin of Error; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Margin of Error; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Margin of Error; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Margin of Error; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Margin of Error; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Margin of Error; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Margin of Error; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Margin of Error; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Margin of Error; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Margin of Error; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Margin of Error; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 to $1,499,999","Margin of Error; Total: - $1,000,000 to $1,499,999","Estimate; Total: - $1,500,000 to $1,999,999","Margin of Error; Total: - $1,500,000 to $1,999,999","Estimate; Total: - $2,000,000 or more","Margin of Error; Total: - $2,000,000 or more"
0400000US47,47,Tennessee,1688565,10002,29439,1123,15634,836,14066,766,14532,1007,14410,801,18476,859,13922,720,39681,1158,49073,1485,61146,1759,68522,1561,81546,1514,72415,1612,173851,2736,165673,2928,179755,3107,113720,2369,168661,2502,120222,2563,127351,2106,57327,1575,54327,1434,18521,821,9058,467,3001,300,4236,337
0500000US47001,47001,"Anderson County, Tennessee",20584,557,394,135,246,82,193,79,193,110,159,81,207,104,337,168,743,190,711,165,632,175,971,173,1365,308,1075,223,2434,298,1739,237,1886,210,1284,244,2124,328,1465,227,1300,198,372,111,561,127,111,47,69,46,13,21,0,29
0500000US47003,47003,"Bedford County, Tennessee",11631,432,197,111,59,47,59,55,144,77,53,53,101,60,47,39,268,97,292,121,513,193,679,183,961,254,651,171,1493,254,1590,288,1138,213,708,196,1025,185,479,121,577,138,180,89,164,69,60,42,118,93,41,43,34,31
0500000US47005,47005,"Benton County, Tennessee",5066,273,230,104,167,59,71,40,92,60,145,71,83,38,75,54,317,94,211,64,301,70,492,118,399,104,143,56,469,102,367,95,491,110,227,78,284,71,104,42,205,80,67,42,57,39,42,35,6,8,8,11,13,20
0500000US47007,47007,"Bledsoe County, Tennessee",3533,243,67,40,135,63,41,40,38,36,104,69,7,10,95,58,125,78,134,73,145,88,110,64,248,88,134,74,333,122,275,86,238,112,299,103,479,167,189,90,225,99,22,27,50,46,24,28,3,9,13,21,0,19
0500000US47009,47009,"Blount County, Tennessee",37372,669,783,144,359,123,341,112,344,123,134,66,204,75,74,44,392,112,530,175,779,178,705,151,1473,270,1216,221,3396,382,4079,441,4971,475,3067,372,4563,418,3410,361,3380,388,1305,247,1208,202,325,104,121,62,138,55,75,49
0500000US47011,47011,"Bradley County, Tennessee",26120,737,294,114,332,104,271,142,161,79,176,82,175,94,204,120,386,158,379,122,576,173,599,151,1563,328,1810,325,2628,258,3486,410,3451,372,2019,321,2861,381,1611,240,1691,284,621,193,529,162,172,85,87,56,22,23,16,26
0500000US47013,47013,"Campbell County, Tennessee",10980,456,280,98,121,64,140,81,180,66,139,66,265,100,398,124,816,199,701,159,735,155,773,199,824,187,430,120,1195,185,805,185,918,173,642,200,423,101,371,114,285,101,173,81,268,91,51,57,42,42,0,26,5,9
0500000US47015,47015,"Cannon County, Tennessee",4015,219,70,45,50,48,17,26,68,44,7,10,27,31,54,55,147,59,31,19,178,111,157,90,330,100,111,60,411,110,316,91,468,130,236,70,409,122,425,129,253,113,47,36,153,85,36,33,0,19,4,5,10,18
0500000US47017,47017,"Carroll County, Tennessee",8204,345,148,67,190,74,83,54,97,52,213,83,319,93,184,82,496,115,521,139,703,135,613,161,784,175,616,159,742,185,560,116,670,144,218,87,406,107,277,113,231,91,36,31,50,33,34,33,13,21,0,23,0,23
0500000US47019,47019,"Carter County, Tennessee",16656,444,613,144,388,114,248,93,259,117,279,106,399,146,107,65,382,123,600,139,849,146,947,200,1144,194,744,174,2351,311,2094,290,1613,250,977,203,1337,191,523,133,498,126,113,55,97,56,26,24,49,39,0,29,19,18
0500000US47021,47021,"Cheatham County, Tennessee",11599,324,154,74,76,53,84,45,49,42,48,38,36,40,69,50,73,50,204,106,138,73,262,97,420,138,306,103,1074,174,1572,252,1508,214,1276,215,1698,198,1021,170,870,145,286,86,268,102,23,26,36,41,28,30,20,19
0500000US47023,47023,"Chester County, Tennessee",4500,293,60,50,101,79,30,31,125,81,136,68,30,34,40,46,239,98,131,79,358,125,145,58,272,117,170,71,748,179,467,139,299,134,364,137,365,117,204,83,143,76,52,41,14,16,7,11,0,19,0,19,0,19
0500000US47025,47025,"Claiborne County, Tennessee",9234,365,242,103,271,114,69,41,160,75,122,69,142,73,82,62,444,98,311,92,897,160,647,140,683,137,403,133,1321,192,740,149,695,167,626,178,419,115,353,106,218,69,170,85,186,107,18,25,0,26,15,24,0,26
0500000US47027,47027,"Clay County, Tennessee",2359,147,42,34,50,41,31,32,57,47,47,40,179,85,0,17,77,49,172,74,209,84,103,61,210,100,80,48,289,103,79,45,225,104,161,72,129,64,68,53,85,51,45,39,21,29,0,17,0,17,0,17,0,17
0500000US47029,47029,"Cocke County, Tennessee",9964,465,311,121,187,89,150,72,224,93,155,68,119,75,386,164,496,180,393,134,595,165,549,156,582,155,497,146,1176,191,956,206,828,175,560,159,719,175,505,131,378,128,104,67,28,21,28,34,28,34,0,26,10,17
0500000US47031,47031,"Coffee County, Tennessee",14625,504,310,104,107,56,277,130,284,174,77,43,341,130,69,52,369,128,745,177,574,172,1016,230,833,171,943,220,1904,318,1410,233,1197,227,613,194,1189,169,967,224,929,196,136,86,196,80,55,51,42,33,4,7,38,34
0500000US47033,47033,"Crockett County, Tennessee",3770,189,63,38,6,6,29,22,21,15,68,49,116,48,67,33,173,61,208,58,249,70,416,95,257,62,315,80,500,120,250,73,194,61,124,60,379,102,106,39,139,58,38,24,37,23,9,14,6,9,0,19,0,19
0500000US47035,47035,"Cumberland County, Tennessee",19627,464,248,89,176,81,411,137,237,94,336,118,401,129,232,92,548,157,565,143,814,167,880,192,826,140,790,185,2198,263,1827,252,2318,280,1335,219,1871,242,1047,195,1293,200,723,173,324,91,127,64,12,14,15,16,73,83
0500000US47037,47037,"Davidson County, Tennessee",148731,1787,1595,278,550,149,436,114,375,129,333,104,270,103,255,100,599,149,851,149,1159,207,2120,314,3539,398,4048,403,14104,858,16600,863,18524,844,11352,776,18221,803,12935,635,16869,834,8289,578,8554,582,3640,353,1948,220,846,161,719,124
0500000US47039,47039,"Decatur County, Tennessee",3473,197,74,31,50,36,21,20,75,48,44,32,77,45,32,23,173,75,387,108,262,69,246,85,245,75,278,78,247,76,181,60,314,95,196,73,204,85,107,44,131,49,39,36,55,37,7,8,23,24,0,19,5,8
0500000US47041,47041,"DeKalb County, Tennessee",4896,303,50,34,24,22,72,43,36,31,53,51,57,47,62,50,223,96,197,82,215,93,351,123,225,100,223,73,529,122,536,128,734,184,389,134,296,103,234,92,191,67,69,43,75,36,25,22,30,22,0,19,0,19
0500000US47043,47043,"Dickson County, Tennessee",13571,418,279,100,87,52,79,56,48,38,137,71,246,100,25,24,117,57,363,123,488,144,512,165,632,156,657,204,1784,275,1564,251,1788,277,904,197,1480,224,988,200,1003,227,142,61,137,56,24,27,29,46,0,29,58,85
0500000US47045,47045,"Dyer County, Tennessee",9428,449,186,99,78,47,100,68,104,69,285,141,94,65,264,109,517,164,525,155,649,164,619,153,704,185,726,204,1112,243,799,214,644,169,424,150,578,155,383,126,452,144,90,85,64,58,0,26,11,20,0,26,20,22
0500000US47047,47047,"Fayette County, Tennessee",12028,292,145,66,101,54,66,50,78,43,96,49,67,50,57,34,252,80,395,105,393,112,450,112,361,90,336,128,826,147,1118,232,1005,183,673,117,1391,201,1503,223,1390,194,617,136,425,83,153,62,81,43,9,16,40,29
0500000US47049,47049,"Fentress County, Tennessee",5580,281,182,87,106,55,209,102,104,57,131,64,146,101,124,84,350,156,354,123,199,69,299,95,316,132,181,74,606,127,478,127,373,133,126,67,403,133,333,122,182,71,163,96,124,66,25,22,66,53,0,19,0,19
0500000US47051,47051,"Franklin County, Tennessee",12015,437,152,69,173,82,149,85,211,102,101,56,220,90,72,48,459,153,296,92,538,154,561,138,961,191,834,198,1556,293,1043,166,1044,163,771,179,659,170,784,140,619,150,274,95,356,122,147,67,12,14,0,26,23,36
0500000US47053,47053,"Gibson County, Tennessee",13438,533,372,137,151,77,177,63,66,46,283,123,298,109,343,111,540,116,1052,221,1110,196,1039,207,864,191,875,221,1428,287,1040,198,1070,179,735,187,794,193,426,109,465,170,133,88,121,83,29,31,27,27,0,26,0,26
0500000US47055,47055,"Giles County, Tennessee",8086,332,126,60,113,66,77,51,47,34,109,61,85,50,171,89,245,87,381,80,226,89,619,133,564,119,521,124,932,168,748,147,804,182,461,138,625,130,309,82,432,128,201,77,145,70,71,54,67,40,0,23,7,11
0500000US47057,47057,"Grainger County, Tennessee",7061,250,375,105,96,51,95,46,73,50,92,51,132,61,39,28,281,97,241,108,446,158,474,115,526,127,245,79,976,189,492,129,478,111,420,119,498,141,273,86,356,132,165,73,146,68,78,66,42,31,0,23,22,24
0500000US47059,47059,"Greene County, Tennessee",19864,552,476,121,357,137,209,124,272,100,209,81,273,102,230,101,936,213,651,163,1009,187,1363,268,1399,260,1335,266,2078,246,1642,221,2250,318,1093,209,1275,202,960,192,948,193,340,110,261,75,168,82,63,69,2,3,65,44
0500000US47061,47061,"Grundy County, Tennessee",3670,196,107,51,72,32,68,43,111,55,126,77,104,40,105,55,227,72,223,72,269,99,346,99,315,104,229,72,303,71,276,67,245,65,73,34,165,66,117,47,70,34,38,28,61,58,0,19,14,11,0,19,6,10
0500000US47063,47063,"Hamblen County, Tennessee",16081,542,446,176,162,69,96,66,137,102,66,52,47,43,75,50,395,177,365,126,606,174,761,189,1133,249,1009,223,2080,352,2663,382,1996,297,1110,191,1129,255,638,169,647,152,256,98,171,89,75,48,18,21,0,29,0,29
0500000US47065,47065,"Hamilton County, Tennessee",89631,1276,1061,207,710,194,537,118,315,129,291,87,412,106,284,107,839,152,1509,247,1919,314,2545,284,3502,395,3611,394,9678,582,9911,684,11963,593,7785,622,9889,590,6913,536,7925,566,3249,360,2914,291,963,236,535,134,178,74,193,73
0500000US47067,47067,"Hancock County, Tennessee",2094,145,141,64,86,51,8,13,52,35,106,57,81,54,38,27,49,30,164,64,128,57,153,54,118,50,43,30,272,96,194,73,148,54,63,45,81,49,84,54,38,28,23,27,14,21,0,17,10,16,0,17,0,17
0500000US47069,47069,"Hardeman County, Tennessee",6039,296,102,46,103,70,106,86,187,95,214,87,195,86,82,49,412,144,350,97,345,103,529,142,726,178,311,92,619,148,505,135,390,107,95,48,317,100,157,72,176,72,39,28,47,29,0,23,12,20,12,16,8,12
0500000US47071,47071,"Hardin County, Tennessee",7596,387,85,50,219,94,127,72,172,88,277,142,277,116,188,89,302,101,515,122,396,127,410,123,440,163,154,62,800,171,609,140,661,148,350,124,614,178,309,90,323,101,155,65,136,77,20,23,14,17,43,41,0,23
0500000US47073,47073,"Hawkins County, Tennessee",17302,505,604,194,225,95,428,148,200,91,325,131,343,127,309,101,454,110,752,154,744,167,850,208,974,191,1025,211,2304,312,1859,273,1970,259,1053,241,920,161,816,196,646,144,126,63,209,90,23,26,79,64,4,10,60,46
0500000US47075,47075,"Haywood County, Tennessee",4258,249,79,48,58,46,13,15,62,40,19,20,85,48,46,28,139,64,186,62,351,90,413,108,383,109,198,88,568,116,460,109,271,89,214,75,142,73,342,108,127,53,19,22,41,46,18,22,0,19,0,19,24,28
0500000US47077,47077,"Henderson County, Tennessee",7831,450,182,77,160,96,53,39,294,144,133,79,205,108,161,96,330,115,329,130,446,148,686,159,753,172,681,176,869,189,600,164,516,158,308,121,546,151,191,65,186,77,122,68,43,38,37,32,0,23,0,23,0,23
0500000US47079,47079,"Henry County, Tennessee",10173,370,206,86,179,69,151,66,79,45,175,66,182,76,117,67,537,146,650,153,486,117,1088,207,754,159,688,164,1311,241,666,162,636,136,373,117,818,230,265,129,340,116,216,95,157,83,31,40,53,40,6,11,9,10
0500000US47081,47081,"Hickman County, Tennessee",6998,354,95,62,18,21,83,48,78,64,51,35,119,80,60,54,562,195,210,86,562,163,424,150,683,196,387,115,867,182,539,151,582,184,558,191,336,117,300,87,245,93,117,65,48,38,20,17,25,24,9,14,20,32
