GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Below 100 percent of the poverty level,Margin of Error; Total: - Below 100 percent of the poverty level,Estimate; Total: - 100 to 149 percent of the poverty level,Margin of Error; Total: - 100 to 149 percent of the poverty level,Estimate; Total: - At or above 150 percent of the poverty level,Margin of Error; Total: - At or above 150 percent of the poverty level,"Estimate; Total: - Car, truck, or van - drove alone:","Margin of Error; Total: - Car, truck, or van - drove alone:","Estimate; Total: - Car, truck, or van - drove alone: - Below 100 percent of the poverty level","Margin of Error; Total: - Car, truck, or van - drove alone: - Below 100 percent of the poverty level","Estimate; Total: - Car, truck, or van - drove alone: - 100 to 149 percent of the poverty level","Margin of Error; Total: - Car, truck, or van - drove alone: - 100 to 149 percent of the poverty level","Estimate; Total: - Car, truck, or van - drove alone: - At or above 150 percent of the poverty level","Margin of Error; Total: - Car, truck, or van - drove alone: - At or above 150 percent of the poverty level","Estimate; Total: - Car, truck, or van - carpooled:","Margin of Error; Total: - Car, truck, or van - carpooled:","Estimate; Total: - Car, truck, or van - carpooled: - Below 100 percent of the poverty level","Margin of Error; Total: - Car, truck, or van - carpooled: - Below 100 percent of the poverty level","Estimate; Total: - Car, truck, or van - carpooled: - 100 to 149 percent of the poverty level","Margin of Error; Total: - Car, truck, or van - carpooled: - 100 to 149 percent of the poverty level","Estimate; Total: - Car, truck, or van - carpooled: - At or above 150 percent of the poverty level","Margin of Error; Total: - Car, truck, or van - carpooled: - At or above 150 percent of the poverty level",Estimate; Total: - Public transportation (excluding taxicab):,Margin of Error; Total: - Public transportation (excluding taxicab):,Estimate; Total: - Public transportation (excluding taxicab): - Below 100 percent of the poverty level,Margin of Error; Total: - Public transportation (excluding taxicab): - Below 100 percent of the poverty level,Estimate; Total: - Public transportation (excluding taxicab): - 100 to 149 percent of the poverty level,Margin of Error; Total: - Public transportation (excluding taxicab): - 100 to 149 percent of the poverty level,Estimate; Total: - Public transportation (excluding taxicab): - At or above 150 percent of the poverty level,Margin of Error; Total: - Public transportation (excluding taxicab): - At or above 150 percent of the poverty level,Estimate; Total: - Walked:,Margin of Error; Total: - Walked:,Estimate; Total: - Walked: - Below 100 percent of the poverty level,Margin of Error; Total: - Walked: - Below 100 percent of the poverty level,Estimate; Total: - Walked: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Walked: - 100 to 149 percent of the poverty level,Estimate; Total: - Walked: - At or above 150 percent of the poverty level,Margin of Error; Total: - Walked: - At or above 150 percent of the poverty level,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means:","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means:","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Below 100 percent of the poverty level","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - Below 100 percent of the poverty level","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 100 to 149 percent of the poverty level","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 100 to 149 percent of the poverty level","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - At or above 150 percent of the poverty level","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - At or above 150 percent of the poverty level",Estimate; Total: - Worked at home:,Margin of Error; Total: - Worked at home:,Estimate; Total: - Worked at home: - Below 100 percent of the poverty level,Margin of Error; Total: - Worked at home: - Below 100 percent of the poverty level,Estimate; Total: - Worked at home: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Worked at home: - 100 to 149 percent of the poverty level,Estimate; Total: - Worked at home: - At or above 150 percent of the poverty level,Margin of Error; Total: - Worked at home: - At or above 150 percent of the poverty level
0500000US47001,47001,"Anderson County, Tennessee",31411,692,2221,407,2064,337,27126,882,27292,846,1713,363,1821,326,23758,956,2631,413,330,148,144,65,2157,377,30,44,13,28,17,35,0,29,232,81,87,64,0,29,145,65,272,110,30,37,0,29,242,107,954,273,48,38,82,90,824,222
0500000US47003,47003,"Bedford County, Tennessee",20988,622,1357,259,2506,447,17125,773,17174,708,962,224,1959,354,14253,722,2640,470,303,145,411,189,1926,431,25,41,0,26,0,26,25,41,223,117,22,27,54,51,147,98,201,116,0,26,42,55,159,97,725,162,70,57,40,32,615,156
0500000US47005,47005,"Benton County, Tennessee",5528,331,634,152,685,188,4209,333,4807,354,509,131,569,178,3729,330,538,177,118,80,96,75,324,130,14,18,0,19,14,18,0,19,12,13,7,10,0,19,5,8,95,64,0,19,6,11,89,64,62,45,0,19,0,19,62,45
0500000US47007,47007,"Bledsoe County, Tennessee",5144,426,336,119,478,133,4330,401,3942,414,210,101,327,106,3405,409,711,257,50,29,52,32,609,245,33,45,3,5,0,19,30,45,199,115,38,41,25,35,136,93,49,36,14,20,18,23,17,18,210,100,21,27,56,53,133,68
0500000US47009,47009,"Blount County, Tennessee",57362,1178,3664,467,4403,596,49295,1343,49212,1196,3052,446,3598,532,42562,1305,4844,530,450,154,538,223,3856,503,118,70,4,5,0,29,114,70,354,123,38,32,71,54,245,93,579,168,13,17,75,84,491,148,2255,325,107,88,121,90,2027,296
0500000US47011,47011,"Bradley County, Tennessee",44715,1087,3811,504,3154,436,37750,1206,37804,1128,3069,456,2644,394,32091,1181,3904,564,401,146,258,110,3245,547,128,87,23,24,34,46,71,65,622,222,139,87,85,72,398,174,526,232,37,42,92,67,397,201,1731,407,142,82,41,48,1548,409
0500000US47013,47013,"Campbell County, Tennessee",14683,512,1082,211,1518,358,12083,618,12461,536,752,182,1288,320,10421,573,1697,297,294,108,174,98,1229,274,11,17,0,26,0,26,11,17,125,72,0,26,29,33,96,70,48,42,16,26,11,16,21,25,341,129,20,19,16,26,305,128
0500000US47015,47015,"Cannon County, Tennessee",5989,256,475,133,533,190,4981,305,5056,307,342,104,464,178,4250,324,542,162,92,77,43,33,407,135,0,19,0,19,0,19,0,19,58,45,0,19,17,27,41,38,11,18,0,19,0,19,11,18,322,135,41,30,9,13,272,126
0500000US47017,47017,"Carroll County, Tennessee",10651,479,841,195,869,190,8941,543,9363,455,723,175,708,176,7932,515,596,163,46,36,128,72,422,133,9,13,0,23,9,13,0,23,123,79,55,54,0,23,68,50,266,124,6,9,0,23,260,122,294,119,11,22,24,27,259,117
0500000US47019,47019,"Carter County, Tennessee",22152,701,2591,398,1869,348,17692,837,19304,800,2059,357,1593,327,15652,798,1383,232,201,99,65,39,1117,188,34,33,18,24,0,29,16,26,156,80,20,32,0,29,136,74,305,127,73,73,34,36,198,95,970,229,220,135,177,99,573,158
0500000US47021,47021,"Cheatham County, Tennessee",18806,584,869,225,1207,250,16730,633,15790,542,676,160,951,242,14163,584,1705,280,90,70,172,82,1443,256,66,50,2,4,0,26,64,50,185,98,11,17,58,71,116,65,231,120,40,53,21,31,170,105,829,227,50,60,5,8,774,208
0500000US47023,47023,"Chester County, Tennessee",6760,437,413,157,516,181,5831,494,5773,416,327,138,422,164,5024,462,569,193,69,73,58,66,442,156,0,19,0,19,0,19,0,19,100,57,15,17,36,46,49,35,117,84,1,2,0,19,116,84,201,91,1,3,0,19,200,91
0500000US47025,47025,"Claiborne County, Tennessee",11280,470,1013,210,832,259,9435,516,9646,458,809,175,712,233,8125,515,1082,208,107,77,93,74,882,182,7,10,0,26,0,26,7,10,52,49,39,47,5,9,8,13,63,34,16,17,7,12,40,29,430,195,42,46,15,19,373,191
0500000US47027,47027,"Clay County, Tennessee",2547,255,242,109,364,141,1941,256,2261,241,209,106,350,140,1702,232,165,79,20,24,0,17,145,75,2,4,0,17,2,4,0,17,29,28,13,19,0,17,16,24,14,22,0,17,12,22,2,4,76,55,0,17,0,17,76,55
0500000US47029,47029,"Cocke County, Tennessee",14044,644,1549,418,1399,303,11096,687,11885,695,1157,380,1039,246,9689,657,1522,394,330,166,311,196,881,232,0,26,0,26,0,26,0,26,132,75,1,2,12,15,119,74,170,104,0,26,21,32,149,99,335,125,61,51,16,16,258,108
0500000US47031,47031,"Coffee County, Tennessee",22601,679,1522,342,1876,337,19203,779,19383,721,1156,294,1543,314,16684,778,1973,317,308,168,196,102,1469,293,3,7,2,6,1,3,0,29,284,157,45,60,44,50,195,127,142,93,11,16,17,26,114,80,816,251,0,29,75,76,741,225
0500000US47033,47033,"Crockett County, Tennessee",5949,266,361,108,652,147,4936,318,5404,284,300,88,548,123,4556,315,358,110,52,50,83,59,223,87,0,19,0,19,0,19,0,19,53,29,5,8,8,10,40,25,21,19,0,19,13,16,8,10,113,67,4,6,0,19,109,67
0500000US47035,47035,"Cumberland County, Tennessee",20284,613,1487,238,1768,310,17029,736,17103,666,1049,228,1307,259,14747,744,2137,341,338,131,410,166,1389,256,31,35,31,35,0,29,0,29,217,116,21,24,0,29,196,114,154,62,22,24,24,28,108,56,642,186,26,27,27,21,589,178
0500000US47037,47037,"Davidson County, Tennessee",351420,2372,27537,1270,25197,1291,298686,2694,280326,2438,18957,1047,18695,1115,242674,2657,34485,1603,4237,509,3832,608,26416,1328,7496,772,1736,455,886,250,4874,551,5502,708,1028,429,544,188,3930,485,4144,563,359,115,308,158,3477,497,19467,1059,1220,227,932,240,17315,1078
0500000US47039,47039,"Decatur County, Tennessee",4431,226,365,139,365,120,3701,273,3650,250,202,71,341,122,3107,265,406,149,77,81,1,3,328,114,15,25,15,25,0,19,0,19,41,38,23,35,7,12,11,10,77,47,19,28,9,13,49,35,242,103,29,20,7,7,206,98
0500000US47041,47041,"DeKalb County, Tennessee",7864,401,537,181,478,191,6849,492,6359,476,463,166,370,170,5526,483,1270,338,39,51,95,95,1136,309,3,4,1,2,0,19,2,3,47,37,0,19,0,19,47,37,83,54,26,27,0,19,57,46,102,57,8,12,13,21,81,46
0500000US47043,47043,"Dickson County, Tennessee",22248,786,1159,282,2082,427,19007,826,18201,719,860,259,1471,360,15870,748,2518,371,239,101,247,138,2032,306,133,90,0,29,0,29,133,90,472,320,16,17,357,333,99,88,186,99,27,43,0,29,159,98,738,194,17,29,7,14,714,190
0500000US47045,47045,"Dyer County, Tennessee",15968,511,1445,300,1433,310,13090,637,14225,589,1235,278,1344,304,11646,658,1036,239,119,99,69,63,848,221,2,4,0,26,0,26,2,4,113,83,23,30,2,4,88,78,162,91,26,31,18,31,118,77,430,135,42,45,0,26,388,129
0500000US47047,47047,"Fayette County, Tennessee",17287,558,898,188,586,154,15803,639,14931,607,673,138,394,119,13864,660,1265,246,97,60,131,90,1037,220,7,10,5,10,0,26,2,3,86,56,7,12,36,40,43,38,247,94,41,44,7,12,199,96,751,164,75,49,18,19,658,169
0500000US47049,47049,"Fentress County, Tennessee",6493,424,824,235,1038,296,4631,534,5218,391,690,232,920,283,3608,435,742,232,91,63,89,63,562,219,9,15,0,19,0,19,9,15,106,54,15,24,9,13,82,52,45,45,0,19,0,19,45,45,373,146,28,42,20,21,325,139
0500000US47051,47051,"Franklin County, Tennessee",16911,670,1295,293,1230,286,14386,795,14144,798,863,213,1000,264,12281,797,1869,341,349,208,144,82,1376,287,0,26,0,26,0,26,0,26,367,193,23,22,30,35,314,181,126,52,16,18,32,34,78,44,405,135,44,52,24,28,337,122
0500000US47053,47053,"Gibson County, Tennessee",20358,656,1517,333,2004,401,16837,785,18171,693,1289,325,1802,392,15080,767,1218,237,126,86,110,75,982,224,14,16,0,26,0,26,14,16,236,108,17,27,24,31,195,107,404,199,62,69,42,55,300,182,315,126,23,26,26,30,266,126
0500000US47055,47055,"Giles County, Tennessee",11901,481,999,198,1029,228,9873,569,10020,497,795,209,758,206,8467,539,1172,230,74,49,111,70,987,213,0,23,0,23,0,23,0,23,181,106,7,9,112,96,62,34,206,86,0,23,48,50,158,74,322,121,123,82,0,23,199,90
0500000US47057,47057,"Grainger County, Tennessee",9126,449,708,179,710,240,7708,475,7226,446,383,125,458,143,6385,454,1247,218,177,94,144,94,926,202,43,41,0,23,16,27,27,28,113,59,35,34,0,23,78,48,67,53,0,23,0,23,67,53,430,157,113,81,92,69,225,110
0500000US47059,47059,"Greene County, Tennessee",26858,936,2127,352,2474,485,22257,1022,23248,953,1529,310,1952,386,19767,1006,2054,430,273,127,325,208,1456,353,4,6,2,4,2,5,0,29,209,120,39,45,49,59,121,92,482,200,170,114,8,13,304,151,861,239,114,85,138,106,609,191
